TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06739517,0.06790717,0.0682923,0.06616275,0.06819564
750,0.06673818,0.0678241,0.07010167,0.06433827,0.06757641
1090,0.06770479,0.06709915,0.0679117,0.06997933,0.06458144
1230,0.06656148,0.06614915,0.06860645,0.06721243,0.06874389
TEST2,12,(-10.0, 16.4, 0.5),16
365,0.2695867,0.2695384,0.2703963,0.2687832,0.2696049
750,0.2695928,0.2695867,0.2695867,0.2696955,0.269478
1090,0.2689584,0.2696411,0.2695867,0.269623,0.2694961
1230,0.2696169,0.2696049,0.269768,0.2763953,0.2625486
TEST3,12,(135.0, 138.0, -43.0),4
365,0.06612801,0.06828324,0.06983434,0.06407095,0.06827267
750,0.06739668,0.0673846,0.06755526,0.06725018,0.06985851
1090,0.0673997,0.06739517,0.06739517,0.06739819,0.06763833
1230,0.06838443,0.06640893,0.06739668,0.06739668,0.06739668
TEST4,12,(135.0, 138.0, -43.0),16
365,0.2695444,0.2740694,0.2651403,0.2695384,0.273145
750,0.2695444,0.2695746,0.2695928,0.2695867,0.2708735
1090,0.2695807,0.2695807,0.2695928,0.2712843,0.2678831
1230,0.2695867,0.2695807,0.2759663,0.2646631,0.2681308
TEST5,48,(-10.0, 16.4, 0.5),4
365,0.06766401,0.06730757,0.06722903,0.0673846,0.06829079
750,0.06739819,0.06739668,0.06739517,0.06739819,0.06835423
1090,0.06767307,0.06712029,0.06740876,0.06739668,0.0673846
1230,0.06743142,0.06752506,0.06723507,0.06749334,0.06941447
TEST6,48,(-10.0, 16.4, 0.5),16
365,0.2694236,0.2733384,0.283385,0.2694297,0.2695807
750,0.2569121,0.2695928,0.2804973,0.2608148,0.2674421
1090,0.2780385,0.261135,0.2747943,0.2644335,0.2695928
1230,0.2695807,0.2696472,0.2718824,0.2672366,0.2799113
TEST7,48,(135.0, 138.0, -43.0),4
365,0.06763531,0.06715201,0.06747975,0.06732117,0.06739366
750,0.06891154,0.06534717,0.06740423,0.06903689,0.06574892
1090,0.06869556,0.06570663,0.06738309,0.06740876,0.06778181
1230,0.06739668,0.06739668,0.06739668,0.06739668,0.06908523
TEST8,48,(135.0, 138.0, -43.0),16
365,0.2695565,0.2696351,0.2696109,0.276794,0.2623492
750,0.2695928,0.269629,0.2695928,0.2695746,0.2695384
1090,0.2695807,0.274607,0.2695867,0.2697619,0.2694115
1230,0.2807208,0.2701667,0.2809987,0.2858136,0.2843637
TEST9,100,(-10.0, 16.4, 0.5),4
365,0.06747068,0.06824246,0.06648294,0.06738762,0.06739668
750,0.06711576,0.06739819,0.06739668,0.06824699,0.06714597
1090,0.06933292,0.06599661,0.06686052,0.06740725,0.06738762
1230,0.06797212,0.06783619,0.06619447,0.06995819,0.06597396
TEST10,48,(-10.0, 16.4, 0.5),16
365,0.2696049,0.2695626,0.2755978,0.2697317,0.2745647
750,0.266409,0.2695988,0.2696169,0.2695867,0.2730242
1090,0.2695807,0.2695988,0.2695807,0.2695867,0.2754347
1230,0.2675871,0.2695867,0.2697317,0.2694417,0.2740452
TEST11,48,(135.0, 138.0, -43.0),4
365,0.06822585,0.06408756,0.06739517,0.06912751,0.06621712
750,0.06738309,0.06741028,0.06739668,0.06747673,0.06730455
1090,0.06756584,0.06810653,0.0665071,0.06739517,0.06740575
1230,0.0673846,0.06739517,0.06739517,0.06766401,0.06712935
TEST12,48,(135.0, 138.0, -43.0),16
365,0.2763953,0.2710729,0.2613041,0.2695807,0.2695928
750,0.2634729,0.2695867,0.2721845,0.266989,0.2695928
1090,0.2665057,0.2708192,0.2730846,0.2648564,0.2695867
1230,0.2695867,0.2695867,0.2736042,0.2688014,0.269629
TEST13,200,(-10.0, 16.4, 0.5),4
365,0.06772593,0.06860796,0.0668726,0.06743897,0.06634399
750,0.06560241,0.06935557,0.06545441,0.06738007,0.06739668
1090,0.07066502,0.06426729,0.06810956,0.06713992,0.06758396
1230,0.067004,0.06714597,0.06739517,0.0689946,0.06597999
TEST14,48,(-10.0, 16.4, 0.5),16
365,0.2696109,0.2758515,0.2909065,0.2695988,0.271387
750,0.269629,0.2695505,0.2727403,0.2664332,0.2715622
1090,0.2695807,0.2695867,0.2777123,0.2614612,0.2695867
1230,0.2695867,0.2695867,0.2731632,0.2697861,0.2693994
TEST15,48,(135.0, 138.0, -43.0),4
365,0.06643914,0.06781051,0.06696473,0.06738611,0.06739668
750,0.0675009,0.06729247,0.0673997,0.0681896,0.06660074
1090,0.0673997,0.06740575,0.06738611,0.06739668,0.06739668
1230,0.06739668,0.06739819,0.06739819,0.06739366,0.06739668
TEST16,48,(135.0, 138.0, -43.0),16
365,0.2680462,0.2720395,0.267134,0.2695867,0.2698163
750,0.2695807,0.2704023,0.2687711,0.2695867,0.2695867
1090,0.2695867,0.269768,0.2694055,0.2698223,0.2747822
1230,0.2736827,0.2695867,0.2695746,0.2695928,0.2695807
TEST17,200,(-10.0, 16.4, 0.5),4
365,0.06932838,0.06546044,0.0673997,0.06738611,0.06740725
750,0.06829683,0.06752506,0.06636815,0.06739819,0.0676927
1090,0.06771989,0.0670629,0.06739668,0.06740725,0.06738611
1230,0.06739517,0.0673997,0.06739215,0.06884357,0.06643008
TEST18,48,(-10.0, 16.4, 0.5),16
365,0.2694176,0.2695867,0.2696351,0.2720818,0.2670917
750,0.2648866,0.2713025,0.2720818,0.267424,0.2675025
1090,0.2726315,0.2665419,0.2695867,0.2697921,0.2693813
1230,0.2695867,0.2722751,0.6136445,0.3091935,0.277235
TEST19,48,(135.0, 138.0, -43.0),4
365,0.0671218,0.06851583,0.0661552,0.06744501,0.06819262
750,0.06795248,0.06684088,0.06801441,0.06819111,0.06597999
1090,0.0673997,0.06818507,0.06663548,0.0673695,0.06740876
1230,0.06634852,0.06739517,0.07031009,0.06448478,0.06744501
TEST20,48,(135.0, 138.0, -43.0),16
365,0.2695324,0.2766732,0.2724624,0.2648262,0.2644335
750,0.2617814,0.2695807,0.2695867,0.2695384,0.2696109
1090,0.2895955,0.2695867,0.2712058,0.2695867,0.2695867
1230,0.2727161,0.2811981,0.2852095,0.2847504,0.2918912

